File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\AdminPage.java,304,165,125,20,48,0,91,545,4,18
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\ApplicationBean1.java,379,188,140,18,53,0,138,600,4,18
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\CardPage.java,535,285,214,34,74,0,176,740,4,18
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\ConceptsCardsByPlayer.java,537,320,254,34,90,0,127,661,4,18
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\Index.java,236,99,75,13,28,0,109,648,4,18
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\ManageCardsPage.java,406,255,190,25,63,0,88,546,4,18
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\Masthead.java,144,38,27,4,16,0,90,635,40,350
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\PlayActionsRoundPage.java,659,383,313,42,130,0,146,874,4,18
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\PlayConceptsRoundPage.java,1234,835,669,95,257,0,142,760,4,18
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\PlayStartRoundPage.java,751,433,361,47,173,0,145,875,4,18
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\RequestBean1.java,128,32,23,3,22,0,74,421,4,18
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\SessionBean1.java,505,250,189,26,88,0,167,715,4,18
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\SourceCardsPage.java,657,428,327,51,132,0,97,620,4,18
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\SupportMaterialPage.java,272,115,84,12,42,0,115,598,4,18
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\TestingPage.java,443,253,194,26,89,0,101,561,4,18
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\UnderConstructionPage.java,115,28,16,0,16,0,71,468,4,18
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\Control\AcceptmoveController.java,172,93,77,10,42,0,37,173,4,18
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\Control\CardController.java,213,127,105,12,47,0,39,186,4,18
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\Control\CardtypeController.java,56,23,19,1,10,0,23,110,4,18
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\Control\HibernateUtil.java,38,17,13,1,9,0,12,48,0,0
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\Control\IndividualboardController.java,199,123,101,15,41,0,35,194,4,18
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\Control\ModulesProjectController.java,243,168,140,13,46,0,29,172,4,18
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\Control\MoveController.java,315,213,177,23,52,0,50,230,4,18
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\Control\PlayerCardController.java,241,132,110,13,69,0,40,229,4,18
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\Control\PlayerController.java,336,212,170,32,74,0,50,226,4,18
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\Control\PlayerSoftengineerController.java,354,220,188,21,95,0,39,272,4,18
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\Control\PlayersproblemsController.java,305,183,156,16,82,0,40,136,4,18
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\Control\ProjectController.java,216,133,110,13,53,0,30,148,4,18
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\Control\RoundController.java,149,105,81,11,21,0,23,99,0,0
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\Control\SoftEngineerController.java,205,124,102,15,45,0,36,170,4,18
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\Control\SoftwareEngineerStatusController.java,74,35,28,5,16,0,23,123,4,18
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\Control\SourceofcardsController.java,154,101,82,11,20,0,33,144,4,18
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\Model\Acceptmove.java,83,47,34,5,18,0,18,76,0,0
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\Model\AcceptmoveId.java,72,47,34,10,21,0,4,17,0,0
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\Model\Card.java,117,88,66,9,25,0,4,17,0,0
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\Model\Cardtype.java,71,35,25,3,19,0,17,73,0,0
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\Model\Individualboard.java,48,23,16,2,10,0,15,60,0,0
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\Model\Modulesproject.java,94,67,49,7,23,0,4,17,0,0
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\Model\ModulesprojectId.java,61,37,27,8,20,0,4,17,0,0
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\Model\Move.java,96,69,51,7,23,0,4,17,0,0
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\Model\Player.java,76,51,37,5,21,0,4,17,0,0
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\Model\Playercard.java,68,44,32,4,20,0,4,17,0,0
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\Model\PlayercardId.java,61,37,27,8,20,0,4,17,0,0
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\Model\Playersoftengineer.java,60,39,28,4,17,0,4,17,0,0
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\Model\PlayersoftengineerId.java,61,37,27,8,20,0,4,17,0,0
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\Model\Playersproblems.java,87,61,45,6,22,0,4,17,0,0
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\Model\PlayersproblemsId.java,61,37,27,8,20,0,4,17,0,0
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\Model\Project.java,118,89,67,9,25,0,4,17,0,0
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\Model\Round.java,70,46,34,4,20,0,4,17,0,0
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\Model\Softengineer.java,88,62,45,7,22,0,4,17,0,0
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\Model\Softwareengineerstatus.java,58,35,25,3,19,0,4,17,0,0
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\Model\Sourceofcards.java,53,35,25,3,14,0,4,17,0,0
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\Servlet\ServletGetDrag.java,107,57,41,4,16,1,34,164,4,18
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\Servlet\ServletSubmitInspect.java,85,32,20,1,9,1,44,187,4,18
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\Util\AppException.java,24,11,8,1,5,0,8,24,4,18
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\Util\DaoException.java,19,6,4,0,5,0,8,24,4,18
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\Util\JSFUtils.java,272,194,152,36,59,0,19,109,4,18
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\Util\MainClass.java,76,18,16,1,20,0,38,107,4,18
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\Util\ManageMessages.java,65,41,33,3,7,0,17,64,4,18
C:\NetBeans\SimulES_New\VersionDissertação\SimulESWeb\SRC\JAVA\SimulES\Util\nonexistentObjectException.java,19,6,4,0,5,0,8,24,4,18
